Entity,Code,Day,Monthly concentration of atmospheric carbon dioxide,Rolling yearly average of the concentration of atmospheric carbon dioxide
World,OWID_WRL,2001-10-15,369.71,370.26334
World,OWID_WRL,2001-11-15,371.05,370.41083
World,OWID_WRL,2001-12-15,371.97,370.56665
World,OWID_WRL,2002-01-15,372.51,370.71832
World,OWID_WRL,2002-02-15,372.91,370.8625
World,OWID_WRL,2002-03-15,373.38,371.01166
World,OWID_WRL,2002-04-15,373.73,371.16418
World,OWID_WRL,2002-05-15,373.71,371.32666
World,OWID_WRL,2002-06-15,372.84,371.495
World,OWID_WRL,2002-07-15,371.41,371.65833
World,OWID_WRL,2002-08-15,370.35,371.8275
World,OWID_WRL,2002-09-15,370.67,372.02
World,OWID_WRL,2002-10-15,371.95,372.20667
World,OWID_WRL,2002-11-15,373.28,372.39252
World,OWID_WRL,2002-12-15,374.26,372.58334
World,OWID_WRL,2003-01-15,374.94,372.78583
World,OWID_WRL,2003-02-15,375.47,372.99918
World,OWID_WRL,2003-03-15,375.92,373.21085
World,OWID_WRL,2003-04-15,376.4,373.43335
World,OWID_WRL,2003-05-15,376.55,373.67
World,OWID_WRL,2003-06-15,375.72,373.91
World,OWID_WRL,2003-07-15,374.17,374.14
World,OWID_WRL,2003-08-15,372.93,374.355
World,OWID_WRL,2003-09-15,373.11,374.55835
World,OWID_WRL,2003-10-15,374.39,374.76166
World,OWID_WRL,2003-11-15,375.67,374.96085
World,OWID_WRL,2003-12-15,376.53,375.15
World,OWID_WRL,2004-01-15,377.21,375.33917
World,OWID_WRL,2004-02-15,377.73,375.5275
World,OWID_WRL,2004-03-15,378.16,375.71417
World,OWID_WRL,2004-04-15,378.47,375.88666
World,OWID_WRL,2004-05-15,378.4,376.04083
World,OWID_WRL,2004-06-15,377.51,376.19
World,OWID_WRL,2004-07-15,375.96,376.33917
World,OWID_WRL,2004-08-15,374.49,376.46918
World,OWID_WRL,2004-09-15,374.39,376.57584
World,OWID_WRL,2004-10-15,375.73,376.6875
World,OWID_WRL,2004-11-15,377.2,376.815
World,OWID_WRL,2004-12-15,378.17,376.95166
World,OWID_WRL,2005-01-15,378.73,377.07834
World,OWID_WRL,2005-02-15,379.27,377.20667
World,OWID_WRL,2005-03-15,379.87,377.34918
World,OWID_WRL,2005-04-15,380.32,377.50333
World,OWID_WRL,2005-05-15,380.42,377.67166
World,OWID_WRL,2005-06-15,379.6,377.84583
World,OWID_WRL,2005-07-15,377.94,378.01083
World,OWID_WRL,2005-08-15,376.73,378.1975
World,OWID_WRL,2005-09-15,376.76,378.39502
World,OWID_WRL,2005-10-15,378.07,378.59
World,OWID_WRL,2005-11-15,379.53,378.78418
World,OWID_WRL,2005-12-15,380.53,378.98083
World,OWID_WRL,2006-01-15,381.33,379.1975
World,OWID_WRL,2006-02-15,381.95,379.42084
World,OWID_WRL,2006-03-15,382.34,379.62668
World,OWID_WRL,2006-04-15,382.67,379.8225
World,OWID_WRL,2006-05-15,382.63,380.00668
World,OWID_WRL,2006-06-15,381.76,380.18668
World,OWID_WRL,2006-07-15,380.07,380.36417
World,OWID_WRL,2006-08-15,378.49,380.51083
World,OWID_WRL,2006-09-15,378.63,380.66666
World,OWID_WRL,2006-10-15,380.08,380.83417
World,OWID_WRL,2006-11-15,381.44,380.99335
World,OWID_WRL,2006-12-15,382.39,381.14835
World,OWID_WRL,2007-01-15,383.03,381.29
World,OWID_WRL,2007-02-15,383.55,381.42334
World,OWID_WRL,2007-03-15,384.02,381.56332
World,OWID_WRL,2007-04-15,384.28,381.6975
World,OWID_WRL,2007-05-15,384.13,381.8225
World,OWID_WRL,2007-06-15,383.26,381.9475
World,OWID_WRL,2007-07-15,381.55,382.07083
World,OWID_WRL,2007-08-15,380.29,382.22083
World,OWID_WRL,2007-09-15,380.68,382.39166
World,OWID_WRL,2007-10-15,382.1,382.56
World,OWID_WRL,2007-11-15,383.45,382.7275
World,OWID_WRL,2007-12-15,384.46,382.9
World,OWID_WRL,2008-01-15,385.23,383.08334
World,OWID_WRL,2008-02-15,385.74,383.26584
World,OWID_WRL,2008-03-15,386.15,383.44333
World,OWID_WRL,2008-04-15,386.53,383.63083
World,OWID_WRL,2008-05-15,386.49,383.8275
World,OWID_WRL,2008-06-15,385.58,384.02084
World,OWID_WRL,2008-07-15,384.1,384.23334
World,OWID_WRL,2008-08-15,382.77,384.44
World,OWID_WRL,2008-09-15,382.54,384.595
World,OWID_WRL,2008-10-15,383.67,384.72583
World,OWID_WRL,2008-11-15,385.18,384.87
World,OWID_WRL,2008-12-15,386.27,385.02084
World,OWID_WRL,2009-01-15,387.03,385.17084
World,OWID_WRL,2009-02-15,387.48,385.31583
World,OWID_WRL,2009-03-15,387.71,385.44583
World,OWID_WRL,2009-04-15,387.99,385.5675
World,OWID_WRL,2009-05-15,387.95,385.68918
World,OWID_WRL,2009-06-15,386.96,385.80417
World,OWID_WRL,2009-07-15,385.01,385.88
World,OWID_WRL,2009-08-15,383.63,385.95166
World,OWID_WRL,2009-09-15,383.93,386.0675
World,OWID_WRL,2009-10-15,385.49,386.21918
World,OWID_WRL,2009-11-15,386.94,386.36584
World,OWID_WRL,2009-12-15,387.84,386.49667
World,OWID_WRL,2010-01-15,388.62,386.62915
World,OWID_WRL,2010-02-15,389.33,386.78333
World,OWID_WRL,2010-03-15,389.68,386.9475
World,OWID_WRL,2010-04-15,389.98,387.11334
World,OWID_WRL,2010-05-15,389.95,387.28
World,OWID_WRL,2010-06-15,389.01,387.45084
World,OWID_WRL,2010-07-15,387.35,387.64584
World,OWID_WRL,2010-08-15,386.23,387.8625
World,OWID_WRL,2010-09-15,386.7,388.09332
World,OWID_WRL,2010-10-15,388.25,388.32333
World,OWID_WRL,2010-11-15,389.62,388.54666
World,OWID_WRL,2010-12-15,390.34,388.755
World,OWID_WRL,2011-01-15,390.85,388.94083
World,OWID_WRL,2011-02-15,391.28,389.10333
World,OWID_WRL,2011-03-15,391.67,389.26917
World,OWID_WRL,2011-04-15,392.05,389.44168
World,OWID_WRL,2011-05-15,392.07,389.61835
World,OWID_WRL,2011-06-15,391.13,389.795
World,OWID_WRL,2011-07-15,389.19,389.94833
World,OWID_WRL,2011-08-15,387.86,390.08417
World,OWID_WRL,2011-09-15,388.26,390.21417
World,OWID_WRL,2011-10-15,389.83,390.34583
World,OWID_WRL,2011-11-15,391.2,390.4775
World,OWID_WRL,2011-12-15,392.04,390.61917
World,OWID_WRL,2012-01-15,392.61,390.76584
World,OWID_WRL,2012-02-15,393.2,390.92584
World,OWID_WRL,2012-03-15,393.72,391.09668
World,OWID_WRL,2012-04-15,393.99,391.25833
World,OWID_WRL,2012-05-15,393.88,391.40918
World,OWID_WRL,2012-06-15,392.84,391.55167
World,OWID_WRL,2012-07-15,391,391.7025
World,OWID_WRL,2012-08-15,389.89,391.87167
World,OWID_WRL,2012-09-15,390.55,392.0625
World,OWID_WRL,2012-10-15,392.16,392.25665
World,OWID_WRL,2012-11-15,393.56,392.45334
World,OWID_WRL,2012-12-15,394.39,392.64917
World,OWID_WRL,2013-01-15,395.07,392.85416
World,OWID_WRL,2013-02-15,395.69,393.06168
World,OWID_WRL,2013-03-15,396.29,393.27585
World,OWID_WRL,2013-04-15,396.74,393.505
World,OWID_WRL,2013-05-15,396.75,393.74417
World,OWID_WRL,2013-06-15,395.96,394.00418
World,OWID_WRL,2013-07-15,394.47,394.29333
World,OWID_WRL,2013-08-15,393.24,394.5725
World,OWID_WRL,2013-09-15,393.21,394.79416
World,OWID_WRL,2013-10-15,394.51,394.99
World,OWID_WRL,2013-11-15,395.97,395.19083
World,OWID_WRL,2013-12-15,396.88,395.39835
World,OWID_WRL,2014-01-15,397.51,395.60165
World,OWID_WRL,2014-02-15,397.97,395.79166
World,OWID_WRL,2014-03-15,398.27,395.95667
World,OWID_WRL,2014-04-15,398.63,396.11417
World,OWID_WRL,2014-05-15,398.69,396.27582
World,OWID_WRL,2014-06-15,397.72,396.4225
World,OWID_WRL,2014-07-15,396.13,396.56082
World,OWID_WRL,2014-08-15,395.02,396.70917
World,OWID_WRL,2014-09-15,395.12,396.86835
World,OWID_WRL,2014-10-15,396.38,397.02417
World,OWID_WRL,2014-11-15,397.86,397.18167
World,OWID_WRL,2014-12-15,398.84,397.345
World,OWID_WRL,2015-01-15,399.56,397.51584
World,OWID_WRL,2015-02-15,400.12,397.695
World,OWID_WRL,2015-03-15,400.57,397.88666
World,OWID_WRL,2015-04-15,400.96,398.08084
World,OWID_WRL,2015-05-15,400.91,398.26584
World,OWID_WRL,2015-06-15,400.06,398.46082
World,OWID_WRL,2015-07-15,398.38,398.64832
World,OWID_WRL,2015-08-15,397.07,398.81915
World,OWID_WRL,2015-09-15,397.34,399.00415
World,OWID_WRL,2015-10-15,398.8,399.20584
World,OWID_WRL,2015-11-15,400.36,399.41415
World,OWID_WRL,2015-12-15,401.66,399.64917
World,OWID_WRL,2016-01-15,402.61,399.90332
World,OWID_WRL,2016-02-15,403.25,400.16415
World,OWID_WRL,2016-03-15,403.84,400.43668
World,OWID_WRL,2016-04-15,404.36,400.72
World,OWID_WRL,2016-05-15,404.4,401.01083
World,OWID_WRL,2016-06-15,403.62,401.3075
World,OWID_WRL,2016-07-15,402.1,401.6175
World,OWID_WRL,2016-08-15,400.78,401.92667
World,OWID_WRL,2016-09-15,400.95,402.2275
World,OWID_WRL,2016-10-15,402.4,402.5275
World,OWID_WRL,2016-11-15,403.76,402.81082
World,OWID_WRL,2016-12-15,404.67,403.06168
World,OWID_WRL,2017-01-15,405.33,403.28833
World,OWID_WRL,2017-02-15,405.91,403.51
World,OWID_WRL,2017-03-15,406.32,403.71667
World,OWID_WRL,2017-04-15,406.6,403.90332
World,OWID_WRL,2017-05-15,406.64,404.09
World,OWID_WRL,2017-06-15,405.85,404.27585
World,OWID_WRL,2017-07-15,404.11,404.44333
World,OWID_WRL,2017-08-15,402.57,404.5925
World,OWID_WRL,2017-09-15,402.66,404.73502
World,OWID_WRL,2017-10-15,404.16,404.88168
World,OWID_WRL,2017-11-15,405.7,405.04333
World,OWID_WRL,2017-12-15,406.75,405.21667
World,OWID_WRL,2018-01-15,407.53,405.4
World,OWID_WRL,2018-02-15,408.23,405.59332
World,OWID_WRL,2018-03-15,408.77,405.79752
World,OWID_WRL,2018-04-15,409.07,406.00333
World,OWID_WRL,2018-05-15,408.93,406.19415
World,OWID_WRL,2018-06-15,408.06,406.37833
World,OWID_WRL,2018-07-15,406.49,406.57666
World,OWID_WRL,2018-08-15,405.11,406.78833
World,OWID_WRL,2018-09-15,405.18,406.99832
World,OWID_WRL,2018-10-15,406.65,407.20584
World,OWID_WRL,2018-11-15,408.12,407.4075
World,OWID_WRL,2018-12-15,409.19,407.61084
World,OWID_WRL,2019-01-15,409.92,407.81
World,OWID_WRL,2019-02-15,410.34,407.98584
World,OWID_WRL,2019-03-15,410.89,408.1625
World,OWID_WRL,2019-04-15,411.33,408.35083
World,OWID_WRL,2019-05-15,411.34,408.55167
World,OWID_WRL,2019-06-15,410.53,408.7575
World,OWID_WRL,2019-07-15,408.88,408.95667
World,OWID_WRL,2019-08-15,407.65,409.16833
World,OWID_WRL,2019-09-15,407.92,409.39667
World,OWID_WRL,2019-10-15,409.44,409.62918
World,OWID_WRL,2019-11-15,410.87,409.85834
World,OWID_WRL,2019-12-15,411.76,410.0725
World,OWID_WRL,2020-01-15,412.43,410.28168
World,OWID_WRL,2020-02-15,412.95,410.49918
World,OWID_WRL,2020-03-15,413.44,410.71167
World,OWID_WRL,2020-04-15,413.86,410.9225
World,OWID_WRL,2020-05-15,413.81,411.12833
World,OWID_WRL,2020-06-15,412.88,411.32416
World,OWID_WRL,2020-07-15,411.17,411.515
World,OWID_WRL,2020-08-15,409.73,411.68832
World,OWID_WRL,2020-09-15,410,411.86166
World,OWID_WRL,2020-10-15,411.66,412.04666
World,OWID_WRL,2020-11-15,413.25,412.245
World,OWID_WRL,2020-12-15,414.14,412.44333
World,OWID_WRL,2021-01-15,414.74,412.63583
World,OWID_WRL,2021-02-15,415.2,412.82333
World,OWID_WRL,2021-03-15,415.49,412.99417
World,OWID_WRL,2021-04-15,415.81,413.15668
World,OWID_WRL,2021-05-15,416.01,413.34
World,OWID_WRL,2021-06-15,415.2,413.53333
World,OWID_WRL,2021-07-15,413.45,413.72333
World,OWID_WRL,2021-08-15,412.15,413.925
World,OWID_WRL,2021-09-15,412.38,414.12335
World,OWID_WRL,2021-10-15,413.83,414.30417
World,OWID_WRL,2021-11-15,415.58,414.49832
World,OWID_WRL,2021-12-15,416.61,414.70416
World,OWID_WRL,2022-01-15,417.18,414.9075
World,OWID_WRL,2022-02-15,417.64,415.11084
World,OWID_WRL,2022-03-15,418.16,415.33334
World,OWID_WRL,2022-04-15,418.58,415.56418
World,OWID_WRL,2022-05-15,418.45,415.7675
World,OWID_WRL,2022-06-15,417.43,415.95334
World,OWID_WRL,2022-07-15,415.68,416.13916
World,OWID_WRL,2022-08-15,414.4,416.32666
World,OWID_WRL,2022-09-15,414.62,416.51334
World,OWID_WRL,2022-10-15,416.13,416.705
World,OWID_WRL,2022-11-15,417.81,416.89084
World,OWID_WRL,2022-12-15,418.85,417.0775
World,OWID_WRL,2023-01-15,419.33,417.25665
World,OWID_WRL,2023-02-15,419.65,417.42416
World,OWID_WRL,2023-03-15,419.99,417.57666
World,OWID_WRL,2023-04-15,420.45,417.73248
World,OWID_WRL,2023-05-15,420.49,417.9025
World,OWID_WRL,2023-06-15,419.53,418.07748
World,OWID_WRL,2023-07-15,417.9,418.2625
World,OWID_WRL,2023-08-15,416.72,418.45584
World,OWID_WRL,2023-09-15,417.1,418.6625
World,OWID_WRL,2023-10-15,418.76,418.88165
World,OWID_WRL,2023-11-15,420.34,419.0925
World,OWID_WRL,2023-12-15,421.51,419.31418
World,OWID_WRL,2024-01-15,422.21,419.55417
World,OWID_WRL,2024-02-15,422.68,419.80667
World,OWID_WRL,2024-03-15,423.23,420.07666
World,OWID_WRL,2024-04-15,423.72,420.34918
World,OWID_WRL,2024-05-15,423.81,420.62582
World,OWID_WRL,2024-06-15,423.11,420.92416
World,OWID_WRL,2024-07-15,421.45,421.22
World,OWID_WRL,2024-08-15,419.92,421.48666